Yankees,493,3.49,3.55,6.5
Astros,471,3.55,3.55,4.6
Athletics,488,3.75,3.81,4.2
Mets,466,3.58,3.64,3.9
Phillies,492,3.75,3.76,3.6
Pirates,501,3.92,3.91,3.3
Rays,493,3.68,3.78,3.2
Nationals,475,3.82,3.87,3.2
Giants,484,3.55,3.62,2.9
Padres,500,3.75,3.76,2.7
Dodgers,484,3.69,3.8,2.5
Indians,456,3.94,4.04,2.4
Rangers,499,4.39,4.41,2.2
Twins,492,4.19,4.22,2.2
Brewers,495,3.96,4,2.1
Angels,489,4.03,4.19,1.9
Cubs,490,3.94,4.06,1.9
Tigers,498,4.43,4.39,1.8
Reds,505,4.1,4.22,1.8
Orioles,509,4.4,4.51,1.7
Blue Jays,520,4.34,4.24,1.7
Cardinals,487,3.89,3.95,1.7
White Sox,499,4.28,4.38,1.7
Braves,497,3.94,3.97,1.6
Red Sox,474,4.17,4.19,1.6
Diamondbacks,482,4.13,4.06,1.5
Rockies,491,4.51,4.39,1.4
Marlins,493,4,4.08,1.1
Mariners,491,4.22,4.33,0.5
Royals,487,4.51,4.54,-0.8